Original Text,Translated Text,Character Count
Maker,制造商,5
"dapat melakukan
          pengaturan akses fitur dari masing- masing rekening operasional
          perusahaan.","可以执行
          对公司的每个操作账户进行功能访问设置。
          的功能访问设置。",111
Otorisasi & Riwayat Aktivitas: Sysadmin,授权和活动历史：系统管理员,39
Releaser,发布者,8
"dapat
          melakukan autentikasi serta monitoring atas transaksi yang telah
          dibuat","可以
          对已创建的交易进行验证和监控
          创建",97
"Pengaturan Workflow: Sysadmin Maker dapat melakukan pengaturan
          workflow untuk setiap transaksi yang dilakukan oleh nasabah","工作流程设置：系统管理员制造商可以为客户的每笔交易设置
          客户每笔交易的工作流程设置",132
Bagaimana jika saya ingin membuat user sysadmin?,如果我想创建一个系统管理员用户怎么办？,48
"User sysadmin dapat dibuat oleh Bank dengan mengajukan formulir myBCA
      Bisnis","银行可通过提交 myBCA 表格创建系统管理员用户
      业务",82
Bagaimana cara membuka pemblokiran pada User ID di luar Sysadmin?,如何解除对 Sysadmin 以外用户 ID 的封锁？,65
"Nasabah pemilik myBCA Bisnis dapat mengajukan permintaan membuka blokir
      melalui halaman","拥有 myBCA Business 的客户可通过以下方式提交解封请求
      通过",93
login,登录,5
"myBCA Bisnis yang akan disetujui oleh user
      Sysadmin","用户将批准的 myBCA 业务
      系统管理员",57
Mengapa User ID saya terblokir?,为什么我的用户 ID 被阻止？,31
Terjadi kesalahan dalam memasukkan KeyBCA,输入 KeyBCA 时发生错误,41
Response,回应,8
"sebanyak 3
        (tiga) kali berturut-turut saat melakukan transaksi dengan menggunakan
        KeyBCA sehingga User ID akan diblokir.","在使用
        (在使用
        用户 ID 将被阻止。",136
Apa perbedaan Standard Workflow dan Advanced Workflow?,标准工作流程和高级工作流程的区别是什么？,54
"Standard Workflow disarankan bagi nasabah yang hanya membutuhkan 1
        (satu) orang/user untuk otorisasi transaksi. Advanced Workflow
        disarankan bagi bagi nasabah yang membutuhkan otorisasi transaksi
        berjenjang atau lebih dari 1 (satu) orang/user. Pengaturan Workflow
        dapat dilakukan pada saat tahap registrasi.","对于只需要 1 个人/用户授权交易的客户，建议使用标准工作流程。
        (一个）人/用户进行交易授权。高级工作流程
        推荐给需要分层授权或超过 1（一）人/用户进行交易授权的客户。
        或 1（一个）人/用户以上。工作流程设置
        工作流程设置可在注册阶段进行。",339
Apa saja pengaturan workflow yang dapat dilakukan oleh user Sysadmin?,系统管理员用户可以进行哪些工作流程设置？,69
Sub-menu,子菜单,8
Deskripsi,说明,9
Pengaturan Level Releaser,企鹅等级释放器,25
Nasabah dapat menentukan Level dari masing-masing Releaser.,客户可以确定每个释放器的级别。,59
Pengaturan Workflow Releaser,工作流程释放器,28
"Nasabah dapat melakukan pengaturan Workflow pada setiap
                  transaksi baik Finansial maupun Non Finansial untuk mengatur
                  user Releaser yang akan melakukan persetujuan.","客户可以对每项
                  客户可以对每笔交易（包括财务交易和非财务交易）进行工作流程设置，以管理负责审批的
                  进行审批的用户发布人。",199
Pengaturan Approver Cashier,出纳员,27
"Nasabah dapat melakukan pengaturan jumlah user Approver dan
                  Cashier untuk setiap transaksi Finansial, dan mengatur jumlah
                  Approver untuk setiap transaksi Non Finansial.","客户可为每笔财务交易设置审批人和出纳用户数量，并为每笔财务交易设置审批人和出纳用户数量。
                  为每笔财务交易设置出纳员，并为每笔非财务交易设置审批员人数。
                  每笔非财务交易的审批人。",204
KETENTUAN MYBCA BISNIS,Mybca 商业条款,22
PT BANK CENTRAL ASIA Tbk (BCA),PT BANK CENTRAL ASIA Tbk (BCA),30
A. Registrasi myBCA Bisnis,A. 注册人 myBCA Bisnis,26
"Setiap nasabah yang memiliki usaha/bisnis dan menyimpan dana di BCA serta
    telah memenuhi persyaratan yang ditentukan oleh BCA dapat menikmati
    fasilitas myBCA Bisnis.","所有在巴塞尔银行（BCA）存款并拥有企业的客户，只要满足以下条件
    满足巴塞尔银行规定的要求，即可享受
    myBCA Bisnis 设施。",173
"Untuk dapat menggunakan fasilitas myBCA Bisnis, nasabah harus memiliki
    identitas pengguna myBCA Bisnis (","要使用 myBCA Business 设施，客户必须拥有
    myBCA Business 用户身份 (",108
Corporate ID,企业 ID,12
dan,丹,3
User ID,用户 ID,7
"), KeyBCA, dan nomor identifikasi pribadi/",)、KeyBCA 和个人身份号码。,42
Personal Identification Number,个人身份证号码,30
"(PIN) untuk mengaktifkan KeyBCA, program enkripsi, dan",(PIN) 以启动加密程序 KeyBCA，以及,54
user manual,用户手册,11
", yang diperoleh nasabah pemilik myBCA Bisnis dari BCA
    (selanjutnya disebut “","拥有 myBCA Bisnis 的客户从 BCA 获得的
    (以下简称 ""BCA",81
Nasabah,纳萨巴,7
"”) setelah
    permohonan fasilitas myBCA Bisnis yang diajukan oleh Nasabah disetujui oleh
    BCA.","""）之后
    客户提交的 myBCA Bisnis 设施申请获得 BCA 批准后。
    BCA 批准。",99
B. Fasilitas myBCA Bisnis,B.myBCA 商务设施,25
Nasabah dapat mengakses dan menggunakan fasilitas myBCA Bisnis melalui aplikasi myBCA Bisnis dan/atau sarana lainnya yang disediakan oleh BCA sesuai dengan ketentuan yang berlaku di BCA.,客户可根据 BCA 的适用规定，通过 myBCA Bisnis 应用程序和/或 BCA 提供的其他设施访问和使用 myBCA Bisnis 设施。,186
Jenis akses fitur dalam fasilitas myBCA Bisnis yang diberikan adalah sesuai akses fitur yang dipilih Nasabah sebagai pemilik myBCA Bisnis sebagaimana tercantum dalam Formulir myBCA Bisnis atau dokumen lain sebagaimana ditentukan oleh BCA.,myBCA Bisnis 设施中提供的功能访问类型符合客户作为 myBCA Bisnis 所有者在 myBCA Bisnis 表格或 BCA 确定的其他文件中选择的功能访问。,238
BCA setiap saat dengan pertimbangan tertentu dapat mengubah manual atau ketentuan pengoperasian myBCA Bisnis dan akan memberitahukan perubahan tersebut kepada Nasabah dalam bentuk dan melalui sarana apa pun sesuai ketentuan hukum yang berlaku.,BCA 可随时在考虑某些因素的情况下更改 myBCA Bisnis 的手册或操作条件，并将根据适用的法律规定以任何形式和通过任何方式通知客户此类更改。,243
"Nasabah dilarang memanfaatkan fasilitas myBCA Bisnis untuk melakukan tindakan yang melanggar atau bertentangan dengan norma kesusilaan, agama, moral, ketertiban umum, hukum, dan peraturan perundang-undangan yang berlaku.",禁止客户利用 myBCA Business 设施进行违反或违背礼仪、宗教、道德、公共秩序、法律以及适用法律和法规的行为。,220
"Tanpa persetujuan tertulis terlebih dahulu dari BCA, Nasabah dilarang memanfaatkan fasilitas myBCA Bisnis, maupun fitur yang ada di dalamnya untuk keperluan penawaran jasa komersial kepada pihak lain antara lain jasa sebagai penyelenggara transfer dana.",未经 BCA 事先书面批准，客户不得利用 myBCA Bisnis 设施及其所含功能向其他方提供商业服务，包括作为资金转账提供方提供服务。,253
C. Pemegang User ID Lainnya,C.其他用户 ID 持有者,27
"Nasabah dapat memberikan hak akses myBCA Bisnis dan/atau sarana transaksi
    lain yang dapat diakses dengan menggunakan","客户可授予访问 myBCA Business 和/或其他交易设施的权限，这些设施可通过以下方式访问
    可通过使用",120
User ID,用户 ID,7
"myBCA Bisnis
    kepada pihak yang ditunjuk Nasabah atas tanggung jawab Nasabah sepenuhnya.","myBCA Business
    给客户指定的一方，由客户全权负责。",91
"Nasabah sebagai pemilik myBCA Bisnis harus mengajukan pembuatan Sysadmin dan
    memberikan kewenangan kepada Sysadmin sesuai dengan yang tercantum dalam
    Formulir myBCA Bisnis atau dokumen lain sebagaimana ditentukan oleh BCA
    untuk melakukan tindakan-tindakan yang dapat dilakukan oleh Sysadmin sesuai
    ketentuan yang berlaku di BCA.","客戶作為 myBCA 商業的擁有者，必須申請建立一個系統管理員，並根據下列規定授權系統管理員
    授权系统管理员。
    myBCA Bisnis 表格或 BCA 决定的其他文件中所述的内容授权系统管理员
    根据《BCA》中的适用规定，执行可由系统管理员执行的操作。
    根据 BCA 的适用规定，系统管理员可执行的操作。",344
Nasabah wajib memiliki minimal 1 (satu) Sysadmin,客户必须至少有 1 名系统管理员,48
Maker,制造商,5
"dan 1 (satu)
    Sysadmin","和 1（一个）
    系统管理员",25
Releaser,发布者,8
"dengan jumlah maksimum Sysadmin tidak dibatasi.
    Khusus untuk Nasabah berbentuk badan, Sysadmin","系统管理员的最大数量不受限制。
    特别针对企业客户，系统管理员",98
Maker,制造商,5
dan Sysadmin,比系统管理员,12
Releaser,发布者,8
harus merupakan orang yang berbeda.,一定是另一个人。,35
Sysadmin tidak dapat melakukan pengaturan terhadap suatu,系统管理员不能为,56
User ID,用户 ID,7
"dan/atau rekening yang terdaftar di myBCA Bisnis sesuai
    dengan kewenangan yang diberikan kepada Sysadmin apabila masih terdapat
    transaksi","和/或在 myBCA Business 中注册的账户。
    如果仍有交易，请按照系统管理员的授权
    交易",145
pending,未决,7
yang melibatkan,其中包括,15
User ID,用户 ID,7
"dan/atau
    rekening yang hendak dibuat pengaturannya oleh Sysadmin tersebut.","和/或
    或帐户。",78
Nasabah atau pihak yang ditunjuk oleh Nasabah dapat menentukan pemegang,客户或客户指定的一方可确定以下物品的持有人,71
User ID,用户 ID,7
"dalam Formulir myBCA Bisnis atau dokumen lain sebagaimana
    ditentukan oleh BCA yang diisi oleh Nasabah ataupun melalui pengaturan yang
    dilakukan oleh Sysadmin. Nasabah memberikan kewenangan kepada pemegang","在 myBCA Bisnis 表格或 BCA 确定的其他文件中，由客户填写或通过 Sysadmin 的安排填写。
    由客户填写或通过系统管理员的安排填写。
    由系统管理员完成。客户授权",212
User ID,用户 ID,7
"yang ditunjuk tersebut untuk mengakses dan melakukan
    transaksi sesuai dengan Ketentuan myBCA Bisnis BCA (selanjutnya disebut
    “","指定访问和执行
    根据 BCA Business myBCA 条款（以下简称 ""BCA 条款""）访问并执行交易。
    """,134
Ketentuan,条款,9
"”) ini dan/atau kewenangan yang
    ditetapkan oleh Nasabah dalam Formulir myBCA Bisnis atau dokumen lain
    sebagaimana ditentukan oleh BCA dan/atau kewenangan yang ditentukan oleh
    Sysadmin.",""")本和/或客户在 myBCA Bisnis 表格或其他文件中指定的授权
    客户在 myBCA Bisnis 表格或其他文件中指定的授权
    由 BCA 确定和/或由
    系统管理员。",196
Nasabah atau pihak yang ditunjuk oleh Nasabah dapat menentukan peran/,客户或客户指定的一方可决定客户的角色。,69
level,夷为平地,5
dan limit transaksi dari masing-masing pemilik/pemegang,和每个所有者/持有人的交易限额,55
User ID,用户 ID,7
.,.,1
"Tanpa mengesampingkan ketentuan lain terkait penggunaan fasilitas myBCA
    Bisnis oleh Nasabah/pemegang","在不影响与使用 myBCA 设施相关的其他规定的前提下
    客户/持有人的商业设施",104
User ID,用户 ID,7
", pemegang",持有人,10
User ID,用户 ID,7
dapat melakukan hal-hal sebagai berikut:,可以做到以下几点：,40
membuat transaksi pengajuan pengkinian data pemegang,创建提交持有人数据更新的事务,52
User ID,用户 ID,7
"melalui sarana transaksi lain yang dapat diakses dengan
        menggunakan","通过其他交易方式，可以通过
        使用",75
User ID,用户 ID,7
myBCA Bisnis;,myBCA 业务；,13
"membuat transaksi pengajuan permohonan pembukaan dan/atau penutupan
        rekening Nasabah melalui sarana transaksi lain yang dapat diakses dengan
        menggunakan","进行交易，提交开立和/或关闭账户的申请
        通过其他交易设施访问客户的账户，这些设施可通过以下方式访问
        使用",168
User ID,用户 ID,7
"myBCA Bisnis untuk selanjutnya dimintakan
        persetujuan kepada Nasabah;","随后要求 myBCA 业务
        批准；",77
"membuat transaksi pengajuan permohonan pembukaan, perubahan, dan/atau
        penutupan fasilitas perbankan yang disediakan oleh BCA untuk kepentingan
        Nasabah melalui sarana transaksi lain yang dapat diakses dengan
        menggunakan","进行交易，要求开通、变更和/或关闭 BCA 提供的银行设施，以便
        关闭由 BCA 提供的银行设施，以便
        客户可通过以下方式使用其他交易设施
        使用",242
User ID,用户 ID,7
"myBCA Bisnis untuk selanjutnya dimintakan
        persetujuan kepada Nasabah;","随后要求 myBCA 业务
        批准；",77
"mengakses data Nasabah yang terdapat di BCA untuk keperluan pengajuan
        permohonan pembukaan, pengelolaan, dan/atau penutupan rekening maupun
        fasilitas perbankan yang ditentukan oleh BCA untuk kepentingan Nasabah
        melalui sarana transaksi lain yang dapat diakses dengan menggunakan","访问《巴塞尔公约》所载的客户数据，以便提交
        申请开立、管理和/或关闭账户，以及
        为了客户的利益，使用由 BCA 确定的银行设施
        通过以下方式访问其他交易设施",302
User ID,用户 ID,7
myBCA Bisnis;,myBCA 业务；,13
"mengakses data Nasabah termasuk namun tidak terbatas pada portofolio
        simpanan Nasabah di BCA dan fasilitas perbankan lainnya yang dimiliki
        oleh Nasabah di BCA melalui sarana transaksi lain yang dapat diakses
        dengan menggunakan","访问客户数据，包括但不限于客户在巴塞尔银行的存款组合以及客户在巴塞尔银行拥有的其他银行设施。
        通过客户可以访问的其他交易手段访问客户在巴塞尔公约银行的存款组合和客户在巴塞尔公约银行拥有的其他银行设施。
        客户在BCA通过其他交易方式可以访问的数据
        通过使用",250
User ID,用户 ID,7
myBCA Bisnis;,myBCA 业务；,13
"mengakses seluruh informasi dan layanan yang disediakan oleh BCA pada
        sarana transaksi lain yang dapat diakses dengan menggunakan","访问 BCA 在以下方面提供的所有信息和服务
        可通过以下方式访问其他交易设施",137
User ID,用户 ID,7
myBCA Bisnis untuk kepentingan Nasabah; dan,myBCA 业务的客户利益；以及,43
"melakukan tindakan-tindakan lain sesuai dengan ketentuan yang berlaku di
        BCA terkait dengan transaksi yang dapat dilakukan oleh pemegang","根据《银行条例》的适用规定采取其他行动。
        根据《巴塞尔公约》的适用规定，采取与《巴塞尔公约》持有人可以进行的交易有关的其他行动。",144
User ID,用户 ID,7
.,.,1
"Nasabah bertanggung jawab sepenuhnya terhadap segala akibat yang timbul
    sehubungan dengan segala tindakan pemegang","客户对以下情况引起的任何后果负全部责任
    与持有人的所有行为有关的任何后果",118
User ID,用户 ID,7
"pada sarana
    transaksi lain yang dapat diakses dengan menggunakan","其他手段
    通过使用",68
User ID,用户 ID,7
"myBCA
    Bisnis terkait dengan kewenangan sebagaimana tersebut di atas.","myBCA
    与上述机构相关的业务。",72
D. Pendaftaran Rekening BCA,D.BCA 账户注册,27
"Seluruh rekening Nasabah yang ada di BCA dan kartu kredit BCA milik Nasabah
    pada saat proses pengajuan fasilitas myBCA Bisnis akan terkoneksi secara
    otomatis di myBCA Bisnis milik Nasabah. Jenis rekening dan kartu kredit yang
    dapat terkoneksi pada myBCA Bisnis milik Nasabah adalah semua jenis rekening
    dan kartu kredit sesuai ketentuan yang berlaku di BCA.","申请 myBCA Bisnis 设施时，客户在 BCA 的所有客户账户和属于客户的 BCA 信用卡
    在申请 myBCA Bisnis 设施时将自动连接到客户拥有的
    自动连接到客户拥有的 myBCA Bisnis。可连接至客户账户的账户和信用卡类型
    可连接至客户的我的BBCA比斯尼的账户和信用卡类型是所有类型的账户和信用卡。
    和信用卡的适用规定。",373
"Untuk dapat melakukan transaksi dengan menggunakan rekening yang terkoneksi
    pada myBCA Bisnis melalui myBCA Bisnis atau sarana lain yang dapat diakses
    oleh","为了能够使用连接到
    在 myBCA Business 上通过 myBCA Business 或其他可通过以下方式访问的方式进行交易
    通过",163
User ID,用户 ID,7
"myBCA Bisnis, Nasabah harus terlebih dahulu memberikan
    akses ke rekening dan fitur myBCA Bisnis kepada pemilik/pemegang","myBCA Business，客戶必須先授予
    账户所有人/持有人访问该账户和 myBCA Business 功能的权限。",123
User ID,用户 ID,7
"yang terdaftar di myBCA Bisnis milik Nasabah. Nasabah dapat
    melakukan pengaturan lebih lanjut atas hak akses rekening dan/atau kartu
    kredit oleh setiap pemilik/pemegang","在 myBCA Business 中登记的属于客户的信息。客户可
    进一步安排每个所有者/持有人的账户和/或信用卡访问权限。
    每个所有者/持有人的访问权限",176
User ID,用户 ID,7
"yang terdaftar di myBCA
    Bisnis milik Nasabah.","在 myBCA 注册
    客户的业务。",49
Pemilik/pemegang,所有者/持有人,16
User ID,用户 ID,7
"yang telah diberikan akses ke rekening
    yang terdaftar di myBCA Bisnis milik Nasabah dan fitur tertentu pada myBCA
    Bisnis dapat melakukan transaksi atas rekening tersebut pada fitur yang
    bersangkutan.","獲准進入屬於客戶在
    在 myBCA 商業網註冊屬於客戶的帳戶以及 myBCA 商業網的某些功能。
    业务可在相关功能中对账户进行交易。
    功能。",211
"Selain mengkoneksikan rekening dan/atau kartu kredit Nasabah, Nasabah juga
    dapat mengkoneksikan rekening dan/atau kartu kredit yang diterbitkan oleh
    BCA atas nama pihak lain berdasarkan kuasa dan kewenangan yang diberikan
    oleh pihak pemilik rekening dan/atau kartu kredit tersebut kepada Nasabah.","除连接客户的账户和/或信用卡外，客户还可以连接由以下机构发行的账户和/或信用卡
    客户还可以根据所授予的委托书和授权书，连接由
    根据账户和/或信用卡所有人授予客户的授权书和授权
    账户和/或信用卡所有者授予客户的委托书和授权书。",308
Setiap rekening termasuk rekening gabungan (,每个账户，包括联名账户 (,44
joint account,联名账户,13
") baik
    dengan status ’DAN’ maupun ’ATAU’, dan/atau kartu
    kredit yang dikoneksikan pada myBCA Bisnis dengan nama yang berbeda dengan
    nama Nasabah harus dilengkapi dengan surat kuasa dari pemilik rekening atau
    pemilik kartu kredit.",")
    和 ""或 ""OR ""状态，和/或与myBCA商务连接的信用卡的名称不同于与myBCA商务连接的信用卡的名称。
    与我的BCA业务连接的信用卡，其名称与客户名称不同的，必须由账户所有者或信用卡所有者出具授权书。
    客户姓名必须附有账户所有人或信用卡所有人的授权书。
    信用卡所有人。",245
"Surat kuasa sebagaimana dimaksud dalam angka 4 di atas berisi kuasa yang
    diberikan oleh pemilik rekening dan/atau kartu kredit kepada Nasabah untuk
    mengakses dan melakukan transaksi atas rekening dan/atau kartu kredit yang
    tercantum dalam surat kuasa tersebut.","上文第 4 条所述的授权书包含以下内容
    账户和/或信用卡所有者授予客户的授权书，授权客户
    访问授权书中列出的账户和/或信用卡并进行交易。
    授权书中列出的账户和/或信用卡。",272
"Rekening yang tidak dapat dikoneksikan pada myBCA Bisnis adalah rekening
    dengan status ‘wali’ dan ‘pengampu’.","不能连接到 myBCA Business 的账户是
    监护人 ""和 ""受托人 ""身份的账户。",113
"Kartu kredit yang dapat dikoneksikan pada myBCA Bisnis Nasabah adalah kartu
    kredit yang diterbitkan oleh BCA.","可连接至 myBCA Bisnis Nasabah 的信用卡均为 BCA 发行的信用卡。
    由 BCA 发行的信用卡。",113
"BCA berhak menghapus rekening dan kartu kredit yang terkoneksi pada myBCA
    Bisnis milik Nasabah apabila karena suatu hal rekening atau kartu kredit
    tersebut telah tutup.","如果客户的账户或信用卡因某种原因被关闭，北京银行有权删除与myBCA
    业务的账户和信用卡。
    已关闭。",176
"Jika Nasabah melakukan penutupan rekening yang digunakan untuk pendebetan
    biaya token (“","如果客户关闭用于扣取代用币费用的账户（""关闭账户
    令牌费（""",92
Rekening Biaya Token,代币收费账户,20
"”) atau
    apabila karena suatu sebab rekening tersebut tutup maka Nasabah wajib
    menunjuk rekening baru untuk menggantikan Rekening Biaya Token yang tutup
    tersebut.","""）或
    如果因任何原因关闭账户，则客户必须
    指定一个新账户，以取代被关闭的代币收费账户。
    账户。",173
"Dalam hal Nasabah tidak menunjuk Rekening Biaya Token maka Nasabah dengan
    ini setuju bahwa BCA berhak untuk menunjuk rekening manapun milik Nasabah
    sebagai Rekening Biaya Token.","如客户未指定代币收费账户，客户特此同意北京银行有权指定属于客户的任何账户。
    甲方同意乙方有权指定属于甲方的任何账户作为代币收费账户。
    作为代币收费账户。",185
"Dalam hal Nasabah tidak menunjuk Rekening Kredit yang baru, Nasabah dengan ini setuju bahwa BCA berhak untuk menunda pengkreditan dana hasil Collection and Receivable sampai dengan Nasabah menunjuk Rekening Kredit yang baru. Nasabah bertanggung jawab sepenuhnya terhadap segala akibat yang timbul atas tutupnya Rekening Kredit maupun kelalaian Nasabah dalam menunjuk Rekening Kredit baru sebagai pengganti Rekening Kredit yang sudah tutup tersebut, termasuk namun tidak terbatas pada penundaan pengkreditan dana hasil layanan Collection and Receivable oleh BCA dan Nasabah dengan ini membebaskan BCA dari segala tuntutan, gugatan, dan/atau tindakan hukum lainnya dalam bentuk apa pun dari pihak manapun sehubungan dengan hal tersebut.",如果客户未指定新的信用账户，客户特此同意，北京银行有权延迟从收款和应收账款中计入资金，直至客户指定新的信用账户。客户应对因关闭信用账户和客户疏忽而未指定新的信用账户以取代已关闭的信用账户所产生的一切后果承担全部责任，包括但不限于BCA延迟从收款和应收账款服务中计入资金，客户特此免除BCA对任何一方就此事提出的任何形式的索赔、诉讼和/或其他法律行动的责任。,734
E. Limit,E.限额,8
Limit harian per,每个,16
Corporate ID,企业 ID,12
adalah limit nominal untuk akumulasi semua transaksi pada myBCA Bisnis yang besarnya ditentukan oleh Nasabah sebagaimana tercantum dalam Formulir myBCA Bisnis. Limit harian per,是 myBCA 商务账户所有交易的累计名义限额，其金额由客户在 myBCA 商务账户表格中确定。每日限额,176
Corporate ID,企业 ID,12
tersebut merupakan limit harian gabungan untuk transaksi,这是每日合并交易限额,56
bulk,散装,4
dan transaksi satuan dan bukan merupakan limit yang terpisah untuk masing-masing transaksi,和单位交易，而不是为每项交易单独设定限额,90
bulk,散装,4
dan transaksi satuan. Limit harian per,和单位交易。每笔每日限额,38
Corporate ID,企业 ID,12
ini tidak berlaku untuk transaksi pembayaran atas kewajiban yang timbul dari fasilitas kredit atau fasilitas pembiayaan yang diberikan oleh BCA kepada Nasabah.,这不适用于因 BCA 向客户提供信贷服务或融资服务而产生的债务的付款交易。,159
Limit Releaser per Transaksi adalah limit nominal yang ditentukan oleh Nasabah atau pihak yang ditunjuk oleh Nasabah atas,每笔交易的限额释放人是由客户或客户指定的一方确定的名义限额。,121
User ID,用户 ID,7
dari,从,4
User,用户,4
tertentu yang diberi kewenangan oleh Nasabah atau pihak yang ditunjuk oleh Nasabah untuk mengotorisasi transaksi yang dibuat pada myBCA Bisnis milik Nasabah sehingga,客户授权的某些当事人或客户指定的当事人，授权在客户的 myBCA 业务上进行的交易，以便,165
User,用户,4
tersebut dapat mengotorisasi transaksi sesuai dengan limit,可根据限额授权交易,58
User ID,用户 ID,7
yang ditentukan,决定了,15
.,.,1
Penentuan limit ini bersifat opsional. Jika Nasabah atau pihak yang ditunjuk oleh Nasabah tidak menentukan limit,该限额的确定是非强制性的。如果客户或客户指定的一方未指定限额,112
User ID,用户 ID,7
", maka",那么,6
User,用户,4
pemilik,所有者,7
User ID,用户 ID,7
tersebut tetap dapat mengotorisasi transaksi sepanjang tidak melebihi Limit harian per,只要不超过每次交易的每日限额，仍可授权交易。,86
Corporate ID,企业 ID,12
.,.,1
Limit harian per rekening adalah limit nominal untuk membatasi maksimal nominal transaksi yang dapat dilakukan pada rekening tertentu per harinya yang besarnya ditentukan oleh Nasabah atau pihak yang ditunjuk oleh Nasabah. Nilai limit harian per rekening tidak boleh melampaui nilai limit harian per,每个账户的每日限额是一个名义限额，用于限制特定账户每日可进行的最大名义交易，金额由客户或客户指定的一方决定。每个账户的每日限额值不得超过每个账户的每日限值。,299
Corporate ID,企业 ID,12
. Penentuan limit ini bersifat opsional.,.指定此限制是可选的。,40
Limit,限制,5
workflow,工作流程,8
adalah limit nominal transaksi yang dapat ditampilkan ke,是可以显示给,56
User,用户,4
tertentu yang diberi kewenangan oleh Nasabah atau pihak yang ditunjuk oleh Nasabah untuk mengotorisasi transaksi yang dibuat pada myBCA Bisnis sehingga,客户授权的某些当事人或客户指定的当事人，授权在 myBCA 业务上进行的交易，以便,151
User,用户,4
tersebut dapat mengotorisasi transaksi tertentu sesuai dengan limit,可根据限额授权某些交易,67
workflow,工作流程,8
atau limit,或限制,10
User ID,用户 ID,7
per transaksi yang dimilikinya (jika ditentukan). Dalam hal limit,持有的每笔交易（如有规定）。如果有限额,65
User ID,用户 ID,7
lebih kecil daripada limit,小于极限,26
workflow,工作流程,8
", maka pemegang",则持有人,15
User ID,用户 ID,7
tersebut hanya dapat mengotorisasi transaksi yang nominalnya tidak melebihi limit,只能授权金额不超过限额的交易。,81
User ID,用户 ID,7
yang ditentukan. Dalam hal limit,具体说明。如果限制,32
User ID,用户 ID,7
yang ditentukan (bila ada) lebih besar daripada limit,指定（如果有的话）大于,53
workflow,工作流程,8
", maka pemegang",则持有人,15
User ID,用户 ID,7
tersebut dapat mengotorisasi transaksi sampai dengan batas limit,可以授权不超过限额的交易。,64
workflow,工作流程,8
.,.,1
Limit Otorisasi Langsung adalah limit nominal transaksi yang dapat diberikan kepada,直接授权限额是指可授予以下用户的交易的名义限额,83
User,用户,4
tertentu yang diberikan kewenangan oleh Nasabah atau pihak yang ditunjuk oleh Nasabah untuk membuat dan mengotorisasi sendiri transaksi yang dibuat oleh,客户授权的某些方或客户指定的一方，以进行和授权客户自己的交易。,152
User,用户,4
tersebut pada myBCA Bisnis secara langsung sesuai dengan Limit Otorisasi Langsung yang dimilikinya (jika ditentukan).,根据他/她的直接授权限额（如有指定），直接在 myBCA 业务中使用。,117
"Selain limit yang nominalnya ditentukan sendiri oleh Nasabah, BCA berhak menetapkan nilai minimal maupun maksimal atas transaksi yang dapat dilakukan melalui fasilitas myBCA Bisnis maupun limit tertentu berdasarkan kebijakan atau prosedur yang ditetapkan oleh Otoritas Jasa Keuangan (OJK), Bank Indonesia, atau otoritas berwenang lainnya. BCA dengan pertimbangan tertentu dapat sewaktu-waktu mengubah limit transaksi yang akan diberitahukan kepada Nasabah dalam bentuk dan melalui sarana apa pun sesuai dengan ketentuan hukum yang berlaku.",除了由客户决定面值的限额外，BCA有权根据金融服务管理局（OJK）、印尼银行或其他主管当局制定的政策或程序，为可通过myBCA Bisnis设施进行的交易设定最低或最高限额。根据适用的法律规定，印尼中央银行出于某些考虑可随时更改交易限额，并以任何形式和通过任何方式通知客户。,539
F. Antivirus,F.杀毒软件,12
"Untuk meningkatkan keamanan transaksi Nasabah, Nasabah wajib melakukan instalasi",为提高客户交易的安全性，客户必须安装,80
software,软件,8
antivirus pada terminal yang digunakan untuk mengakses myBCA Bisnis maupun sarana transaksi lain yang dapat diakses dengan menggunakan,在用于访问 myBCA Business 和其他可通过以下方式访问的交易设施的终端上安装杀毒软件,134
User ID,用户 ID,7
myBCA Bisnis dan memastikan bahwa antivirus yang digunakan adalah versi terkini (,myBCA Business 并确保所使用的杀毒软件是最新版本 (,81
updated,最新的,7
). Segala akibat yang timbul sehubungan dengan kelalaian Nasabah dalam menggunakan antivirus dengan versi terkini merupakan tanggung jawab Nasabah sepenuhnya.,).由于客户疏忽而未使用最新版本的杀毒软件所造成的任何后果均由客户自行承担。,158
G. Login/Akses ke myBCA Bisnis,G.登录/访问 myBCA Business,30
Nasabah atau pemegang,客户或持有人,21
User ID,用户 ID,7
harus memasukkan,必须包括,16
"Corporate ID, User ID,",公司 ID、用户 ID、,22
dan PIN dinamis yang dihasilkan oleh KeyBCA (KeyBCA Response) untuk dapat mengakses myBCA Bisnis dan sarana transaksi lain yang dapat diakses dengan menggunakan,和由 KeyBCA 生成的动态 PIN 码（KeyBCA 响应），以便能够访问 myBCA Business 和其他可通过以下方式访问的交易设施,160
User ID,用户 ID,7
myBCA Bisnis.,myBCA 业务。,13
"H. Corporate ID, User ID, KeyBCA, dan PIN KeyBCA",H.公司 ID、用户 ID、KeyBCA、dan PIN KeyBCA,48
Corporate ID yang diberikan oleh BCA bersifat permanen dan tidak dapat diubah.,BCA 提供的企业 ID 是永久性的，不可更改。,78
BCA berhak untuk memberikan Corporate ID dengan kombinasi huruf dan angka sesuai dengan kebijakan BCA tanpa harus mendapatkan persetujuan terlebih dahulu dari Nasabah.,BCA 保留根据 BCA 政策提供字母和数字组合的公司 ID 的权利，而无需事先获得客户的批准。,167
